"V1" "V2" "V3" "V4" "V5" "c(rep(5, 72), rep(0, 72))" "V7"
-1.38345170066388 -4.08270950836753 2.59307615604085 0.773445653396663 0.251841740481135 4 0
-1.34557860958867 0 0 1.65700530713455 -0.988166694451254 4 0
0 -0.629024739944189 0 0.735282624432468 -0.2765438918634 4 0
0 0 0 0 0 4 0
0 0 0 0 0 4 0
0 0 0 0 0 4 0
0 0 0 0 0 4 0
0 0 0 0 0 4 0
0 0 0 0 0 4 0
0 0 0 0 0 4 0
0 0 0 0 0 4 0
0 0 0 0 0 4 0
-2.45429298721991 -2.99940498559749 1.25046377893095 0.592051310271614 0.590898102996588 4 0
0 -1.41304387325849 0 1.68463756705739 -0.891377118039026 4 0
0 0 0.93263510935865 0.510875952862077 -0.353732283379729 4 0
0 0 0 0 0 4 0
0 0 0 0 0 4 0
0 0 0 0 0 4 0
0 0 0 0 0 4 0
0 0 0 0 0 4 0
0 0 0 0 0 4 0
0 0 0 0 0 4 0
0 0 0 0 0 4 0
0 0 0 0 0 4 0
-1.36194205713607 -3.74206768582499 1.46656692435987 1.02890601878521 0 4 0
-1.19358467755819 0.919602792812518 1.73257444319626 1.62788576209348 -0.365636467822254 4 0
0 0 0 0.709614361445386 -0.30297808653142 4 0
0 0 0 0 0 4 0
0 0 0 0 0 4 0
0 0 0 0 0 4 0
0 0 0 0 0 4 0
0 0 0 0 0 4 0
0 0 0 0 0 4 0
0 0 0 0 0 4 0
0 0 0 0 0 4 0
0 0 0 0 0 4 0
-1.46886731663535 4.24581122501428 4.43592567891963 0 0.579292092037652 0 4
0 0 0 -0.768259711377182 0 0 4
4.46053476203309 0 0 0 -1.38145882532997 0 4
3.66247373901476 0 -2.14932171350027 -3.12831413334739 0 0 4
-3.0134250936176 0 0 0 0.561139960706844 0 4
0 0 3.63428594153855 0 0 0 4
0 2.14401738830192 0 0 0 0 4
0 0 5.0122909662562 -1.40432100035079 0 0 4
0 0 0 0 0.891815094325828 0 4
0 5.45999653577627 0 -0.883679243334217 -0.480805728739532 0 4
-3.56257647612062 0 -9.4481903403668 0.781756205843843 2.47522091939098 0 4
2.13743701958331 2.78730827527527 11.4021679980736 0 -1.77592857892406 0 4
-4.9126175888723 -5.72339153467579 -5.83211333903348 2.30380898654368 1.22736185039375 0 4
2.96167920593833 0 0 -0.610052071503567 -0.433502621827311 0 4
5.63549235064743 0 0 -3.18105543435948 -1.74184156796917 0 4
3.0997942427992 0 0 -0.978327660464098 0 0 4
0 0 0 0 0.489517715363146 0 4
-3.11346260718632 -6.51039369613268 0 0 0.930385785684402 0 4
-2.84015879681968 6.79453978762324 0 0 1.24835644359183 0 4
-1.65459283050595 0 0 0 0 0 4
0 0 0 0 0 0 4
2.28853819431903 4.15803054785663 0 0 0 0 4
-2.64892233427773 -4.53684756150134 0 0 0.78594864508491 0 4
0 5.25049474010519 0 -0.622245074575291 0 0 4
-2.05508390318345 -6.51039740488993 -8.07436298709298 1.11420192340731 1.01069447849859 0 4
3.1458241271488 4.67348518651802 5.34504751656411 -1.15443917766873 -0.86108997190085 0 4
6.82840495012659 -5.64717020047823 -2.85580279224808 -1.06905907420773 -1.05165326301389 0 4
3.39521063556372 0 0 -2.45678449743529 -1.27472233642832 0 4
-4.15841451844766 0 0 0 1.73872714935338 0 4
-2.45999921464241 -2.00439496988067 0 0 0 0 4
0 7.450962695838 0 0 0.573780905191666 0 4
0 0 0 0 0 0 4
0 0 0 0 0.40849660669725 0 4
0 2.8410976699976 7.73364614240771 -0.505672079178732 -0.621101950890658 0 4
-2.80397150249238 -4.61806131388389 -13.1600630812907 1.52774864266102 2.52140294857999 0 4
0 0 0 0 0 0 4
0 0 -6.04987806230731 0 0 0 0
1.23631294791143 1.68258575265284 -1.01302756941156 -1.57419251016057 1.29139065934453 0 0
0.144848218069647 0 -0.443045196395652 -0.671914324436897 0.272232698397006 0 0
0 0 0 0 0 0 0
0 0 0 0 0 0 0
0 0 0 0 0 0 0
0 0 0 0 0 0 0
0 0 0 0 0 0 0
0 0 0 0 0 0 0
0 0 0 0 0 0 0
0 0 0 0 0 0 0
0 0 0 0 0 0 0
4.59532572684212 0 0 0 -1.48910971592717 0 0
-1.09579305332046 3.95383935109241 0 -1.49706900275007 1.13896011887268 0 0
0 0 -1.22180811692412 -0.408503216159548 0.37064644733085 0 0
0 0 0 0 0 0 0
0 0 0 0 0 0 0
0 0 0 0 0 0 0
0 0 0 0 0 0 0
0 0 0 0 0 0 0
0 0 0 0 0 0 0
0 0 0 0 0 0 0
0 0 0 0 0 0 0
0 0 0 0 0 0 0
0 0 0 0 0 0 0
0 0 -3.53619453643055 -1.04772229357211 0.683233605071831 0 0
0 0 0 -0.609794998088246 0.280220211022788 0 0
0 0 0 0 0 0 0
0 0 0 0 0 0 0
0 0 0 0 0 0 0
0 0 0 0 0 0 0
0 0 0 0 0 0 0
0 0 0 0 0 0 0
0 0 0 0 0 0 0
0 0 0 0 0 0 0
0 0 0 0 0 0 0
-3.30274577182931 0 0 -1.04786406577226 -1.29861506673599 0 0
8.80526589599342 0 -4.59366859448668 0 -1.27913738641371 0 0
0 0 -4.64612976010666 0 1.59181067115308 0 0
-3.63090938439199 0 0 3.95286948816826 0 0 0
3.45502551985905 0 0 0 0 0 0
-3.99416338269355 0 0 0 0 0 0
0 0 0 0 0 0 0
-3.60695954578669 0 0 2.31180135428889 0 0 0
0 0 0 0 -1.99776911106467 0 0
0 0 16.0990203281769 0 0 0 0
3.77501267813564 -4.61748287416188 0 0 -2.51477903388278 0 0
-9.12016509100079 0 0 -1.88297160270822 2.03863397147992 0 0
8.32756657565126 0 -8.11468190710798 -2.9293646025263 0 0 0
0 0 0 0 0 0 0
0 0 -12.5893659275772 5.06280891380432 2.34549563959462 0 0
-4.14118513143146 0 0 0 0 0 0
-1.5966036700119 0 0 0 0 0 0
3.79444880918235 10.3968662056184 4.56460108154834 0 -1.55220631062896 0 0
4.3000158874284 -10.7927380262762 0 0 -1.95208714540801 0 0
0 0 0 0 0 0 0
-2.56959246448214 0 14.9150502131699 0 0 0 0
-7.58494580397763 0 9.69474036529553 0 0 0 0
6.48956467975415 0 -21.7108095879841 0 0 0 0
-5.66837440366581 0 12.2466018587074 0 0 0 0
0 0 0 0 0 0 0
3.91832743228061 0 -13.5241442496781 0 0 0 0
0 8.29741849047165 0 0 0 0 0
-5.64130092288372 0 0 3.72497864174321 2.8735367220982 0 0
4.99056021972636 0 0 0 -2.15724299850424 0 0
0 0 0 0 0 0 0
0 -12.741059557627 0 0 0 0 0
-1.85660063595342 0 8.94619652487741 0 -0.787286237620126 0 0
0 0 0 0 0 0 0
-3.50003305288243 0 0 0 0 0 0
3.74348223587791 0 0 0 -1.86195791728988 0 0
0 5.96542196503488 0 -1.35439199225197 -0.978014594942258 0 0
